x,Curve1
"166,034","-1,6687"
"168,51","-1,9419"
"173,008","-1,994"
"174,918","-1,8581"
"177,163","-1,5859"
"179,855","-1,0583"
"181,984","-0,4965"
"184,114","0,0312"
"186,242","0,7123"
"188,033","1,3253"
"190,048","2,0916"
"192,286","2,9941"
"194,189","3,6753"
"196,434","3,9133"
"198,348","3,6914"
"200,832","2,8389"
"202,867","1,8673"
"204,902","0,8787"
"206,598","0,0945"
"208,966","-0,5875"
"212,458","-1,1335"
"215,833","-1,3387"
"222,351","-1,1356"
"227,518","-0,7448"
"232,91","-0,3711"
"238,079","-0,1507"
"246,735","-0,1015"
"255,166","-0,0863"
