x,Curve1
"166,795","-1,9186"
"168,465","-1,9186"
"170,468","-1,9186"
"173,138","-1,8788"
"174,974","-1,8655"
"178,482","-1,9583"
"180,825","-2,2102"
"183,836","-2,4621"
"186,679","-2,661"
"189,185","-2,714"
"192,354","-2,608"
"194,016","-2,2765"
"194,51","-2,0114"
"195,17","-1,6667"
"195,702","-1,5163"
"196,171","-1,3243"
"196,689","-1,0069"
"197,312","-0,6603"
"197,832","-0,4181"
"198,611","-0,0214"
"199,182","0,3043"
"199,91","0,6301"
"200,533","0,9558"
"201,313","1,3191"
"201,832","1,6364"
"202,404","1,9079"
"202,977","2,1292"
"203,602","2,3589"
"203,916","2,4507"
"204,962","2,6804"
"205,539","2,7556"
"206,852","2,7848"
"207,958","2,7263"
"208,538","2,6554"
"208,961","2,5593"
"209,649","2,3797"
"210,443","2,1668"
"211,291","1,8828"
"211,503","1,7951"
"211,926","1,7033"
"212,404","1,532"
"212,775","1,4109"
"213,092","1,3233"
"213,623","1,1186"
"214,417","0,9057"
"215,105","0,7094"
"216,48","0,3712"
"217,59","0,1582"
"219,332","-0,155"
"221,125","-0,368"
"222,864","-0,5183"
"225,337","-0,5851"
"227,862","-0,6018"
"231,803","-0,5058"
"234,745","-0,3847"
"238,424","-0,297"
"242,05","-0,2176"
"245,415","-0,1842"
"250,357","-0,1634"
"254,196","-0,1634"
