x,Curve1
"166,252","-1,0554"
"168,389","-1,141"
"171,087","-1,1246"
"175,132","-0,9551"
"178,278","-0,7854"
"180,637","-0,7007"
"182,998","-0,7012"
"184,911","-0,8379"
"186,376","-1,0938"
"187,954","-1,486"
"189,646","-1,9634"
"191,114","-2,526"
"192,921","-3,1739"
"194,951","-3,7195"
"197,09","-3,9926"
"199,225","-3,9419"
"201,581","-3,4995"
"204,941","-2,4268"
"207,404","-1,5924"
"209,198","-1,1157"
"210,99","-0,622"
"213,571","-0,1966"
"217,389","0,1604"
"221,435","0,3129"
"225,596","0,1757"
"231,106","0,0382"
"236,841","-0,0483"
"243,362","-0,1008"
"251,006","-0,0683"
"254,941","-0,0692"
